Model Type,Textual Feature,Confidence Threshold,Include Rating,Include SentiScore,Shuffle Data,Use Grid Search,Pre_Pipeline_F1,Post_Pipeline_F1,Time Taken
random_forest,stopwords_removal_nltk,0.8,True,False,True,False,0.6262135922330098,0.6262135922330098,7.766865015029907
random_forest,stopwords_removal_nltk,0.8,True,False,False,False,0.6553398058252428,0.6407766990291263,7.881049156188965
random_forest,stopwords_removal_nltk,0.8,False,True,True,False,0.5631067961165048,0.5679611650485437,9.717659711837769
random_forest,stopwords_removal_nltk,0.8,False,True,False,False,0.6359223300970874,0.4368932038834951,10.867670059204102
random_forest,stopwords_removal_nltk,0.8,False,False,True,False,0.5922330097087378,0.616504854368932,7.949767827987671
random_forest,stopwords_removal_nltk,0.8,False,False,False,False,0.6359223300970874,0.6359223300970874,9.032100915908813
random_forest,stopwords_removal_lemmatization,0.5,True,True,True,False,0.6116504854368932,0.6310679611650486,6.704056978225708
random_forest,stopwords_removal_lemmatization,0.5,True,True,False,False,0.6553398058252428,0.6650485436893204,6.748934030532837
random_forest,stopwords_removal_lemmatization,0.5,True,False,True,False,0.6796116504854369,0.6796116504854369,7.023909091949463
random_forest,stopwords_removal_lemmatization,0.5,True,False,False,False,0.6796116504854369,0.6796116504854369,6.655644178390503
random_forest,stopwords_removal_lemmatization,0.5,False,True,True,False,0.5825242718446602,0.5776699029126213,8.286294937133789
random_forest,stopwords_removal_lemmatization,0.5,False,True,False,False,0.6262135922330098,0.5825242718446602,9.050271987915039
random_forest,stopwords_removal_lemmatization,0.5,False,False,True,False,0.5631067961165048,0.5825242718446602,7.458452939987183
random_forest,stopwords_removal_lemmatization,0.5,False,False,False,False,0.6213592233009708,0.616504854368932,8.260278940200806
random_forest,stopwords_removal_lemmatization,0.6,True,True,True,False,0.6359223300970874,0.6213592233009708,7.370179653167725
random_forest,stopwords_removal_lemmatization,0.6,True,True,False,False,0.6553398058252428,0.6553398058252428,7.405447244644165
random_forest,stopwords_removal_lemmatization,0.6,True,False,True,False,0.6310679611650486,0.6553398058252428,7.380759000778198
random_forest,stopwords_removal_lemmatization,0.6,True,False,False,False,0.6796116504854369,0.6699029126213593,7.153112888336182
random_forest,stopwords_removal_lemmatization,0.6,False,True,True,False,0.5728155339805825,0.5048543689320388,9.5871000289917
random_forest,stopwords_removal_lemmatization,0.6,False,True,False,False,0.6262135922330098,0.529126213592233,9.87094521522522
random_forest,stopwords_removal_lemmatization,0.6,False,False,True,False,0.5970873786407767,0.6116504854368932,8.064020872116089
random_forest,stopwords_removal_lemmatization,0.6,False,False,False,False,0.6213592233009708,0.616504854368932,8.409766912460327
random_forest,stopwords_removal_lemmatization,0.7,True,True,True,False,0.6116504854368932,0.616504854368932,7.943374156951904
random_forest,stopwords_removal_lemmatization,0.7,True,True,False,False,0.6553398058252428,0.6553398058252428,7.508136034011841
random_forest,stopwords_removal_lemmatization,0.7,True,False,True,False,0.6601941747572816,0.6553398058252428,7.660671234130859
random_forest,stopwords_removal_lemmatization,0.7,True,False,False,False,0.6796116504854369,0.6699029126213593,7.313198089599609
random_forest,stopwords_removal_lemmatization,0.7,False,True,True,False,0.5970873786407767,0.47572815533980584,10.23132586479187
random_forest,stopwords_removal_lemmatization,0.7,False,True,False,False,0.6262135922330098,0.470873786407767,10.376832723617554
random_forest,stopwords_removal_lemmatization,0.7,False,False,True,False,0.5048543689320388,0.5436893203883495,8.300026893615723
random_forest,stopwords_removal_lemmatization,0.7,False,False,False,False,0.6213592233009708,0.6116504854368932,8.696998119354248
random_forest,stopwords_removal_lemmatization,0.8,True,True,True,False,0.6262135922330098,0.6504854368932039,7.809005975723267
random_forest,stopwords_removal_lemmatization,0.8,True,True,False,False,0.6553398058252428,0.6553398058252428,7.73656702041626
random_forest,stopwords_removal_lemmatization,0.8,True,False,True,False,0.6262135922330098,0.6310679611650486,7.854130744934082
random_forest,stopwords_removal_lemmatization,0.8,True,False,False,False,0.6796116504854369,0.6699029126213593,7.537721872329712
random_forest,stopwords_removal_lemmatization,0.8,False,True,True,False,0.5,0.47572815533980584,10.336179971694946
random_forest,stopwords_removal_lemmatization,0.8,False,True,False,False,0.6262135922330098,0.4320388349514563,11.10374402999878
random_forest,stopwords_removal_lemmatization,0.8,False,False,True,False,0.5679611650485437,0.5825242718446602,8.178055047988892
random_forest,stopwords_removal_lemmatization,0.8,False,False,False,False,0.6213592233009708,0.6019417475728155,9.372446060180664
naive_bayes,comment,0.5,True,True,True,False,0.5533980582524272,0.5631067961165048,5.8240461349487305
naive_bayes,comment,0.5,True,True,False,False,0.529126213592233,0.5436893203883495,6.017232179641724
naive_bayes,comment,0.5,True,False,True,False,0.529126213592233,0.5388349514563107,6.132576942443848
naive_bayes,comment,0.5,True,False,False,False,0.5436893203883495,0.5485436893203883,6.205248832702637
naive_bayes,comment,0.5,False,True,True,False,0.3786407766990291,0.4320388349514563,7.417112112045288
naive_bayes,comment,0.5,False,True,False,False,0.4077669902912621,0.46601941747572817,7.334086894989014
naive_bayes,comment,0.5,False,False,True,False,0.46116504854368934,0.6019417475728155,7.803696155548096
naive_bayes,comment,0.5,False,False,False,False,0.4223300970873786,0.5728155339805825,8.199212789535522
naive_bayes,comment,0.6,True,True,True,False,0.4854368932038835,0.49514563106796117,7.13421893119812
naive_bayes,comment,0.6,True,True,False,False,0.529126213592233,0.5485436893203883,6.817337989807129
naive_bayes,comment,0.6,True,False,True,False,0.5970873786407767,0.587378640776699,6.841936111450195
naive_bayes,comment,0.6,True,False,False,False,0.5436893203883495,0.5436893203883495,7.306692838668823
naive_bayes,comment,0.6,False,True,True,False,0.3300970873786408,0.4563106796116505,8.067716836929321
naive_bayes,comment,0.6,False,True,False,False,0.4077669902912621,0.5048543689320388,8.924729824066162
naive_bayes,comment,0.6,False,False,True,False,0.38349514563106796,0.5825242718446602,8.655683040618896
naive_bayes,comment,0.6,False,False,False,False,0.4223300970873786,0.6019417475728155,9.238780975341797
naive_bayes,comment,0.7,True,True,True,False,0.470873786407767,0.470873786407767,7.751433849334717
naive_bayes,comment,0.7,True,True,False,False,0.529126213592233,0.5485436893203883,7.363483905792236
naive_bayes,comment,0.7,True,False,True,False,0.5097087378640777,0.529126213592233,7.805280923843384
naive_bayes,comment,0.7,True,False,False,False,0.5436893203883495,0.5485436893203883,7.789698123931885
naive_bayes,comment,0.7,False,True,True,False,0.34951456310679613,0.47572815533980584,8.720378160476685
naive_bayes,comment,0.7,False,True,False,False,0.4077669902912621,0.48058252427184467,10.324372053146362
naive_bayes,comment,0.7,False,False,True,False,0.470873786407767,0.6553398058252428,9.126868963241577
naive_bayes,comment,0.7,False,False,False,False,0.4223300970873786,0.587378640776699,9.890371799468994
naive_bayes,comment,0.8,True,True,True,False,0.5194174757281553,0.529126213592233,7.775727033615112
naive_bayes,comment,0.8,True,True,False,False,0.529126213592233,0.5485436893203883,7.888631820678711
naive_bayes,comment,0.8,True,False,True,False,0.5825242718446602,0.5728155339805825,7.729588031768799
